"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"Total average","Property Income","2013.2/4","21189.936","13166.808","32490.719",
"Total average","Property Income","2013.3/4","18963.85","11883.473","29081.425",
"Total average","Property Income","2013.4/4","21667.147","14151.699","32282.834",
"Total average","Property Income","2014.1/4","19447.099","15490.842","24508.085",
"Total average","Property Income","2014.2/4","17529.879","13852.438","22622.092",
"Total average","Property Income","2014.3/4","17020.347","13079.615","22633.625",
"Total average","Property Income","2014.4/4","19376.543","14323.682","26829.793",
"Total average","Property Income","2015.1/4","21154.062","13809.663","30871.581",
"Total average","Property Income","2015.2/4","14835.782","10878.521","20501.8",
"Total average","Property Income","2015.3/4","17661.64","15518.01","20699.357",
"Total average","Property Income","2015.4/4","16119.8","12040","21970.703",
"Total average","Property Income","2016.1/4","17556.002","12284.422","24175.418",
"Total average","Property Income","2016.2/4","15084.092","11693.829","19771.811",
"Total average","Property Income","2016.3/4","13960.933","10919.732","18109.037",
"Total average","Property Income","2016.4/4","17801.527","13096.527","24204.639",
"Total average","Property Income","2017.1/4","18651.145","15553.69","22541.722",
"Total average","Property Income","2017.2/4","16158.733","12037.796","21934.984",
"Total average","Property Income","2017.3/4","16352.715","10876.6","23897.635",
"Total average","Property Income","2017.4/4","17698.17","11664.857","25935.877",
"Total average","Property Income","2018.1/4","19037.848","12377.669","26459.638",
"Total average","Property Income","2018.2/4","19671.623","13268.7","27585.678",
"Total average","Property Income","2018.3/4","17040.802","11476.468","23965.8",
"Total average","Property Income","2018.4/4","17309.302","9994.703","26368.189",
"Total average","Property Income","2019.1/4","14253.431","9443.758","19808.78",
"Total average","Property Income","2019.2/4","19819.306","13050.933","28314.147",
"Total average","Property Income","2019.3/4","16864.507","10946.405","24219.975",
"Total average","Property Income","2019.4/4","17853.322","12318.741","24829.744",
"Total average","Transfer income","2006.1/4","261135.452","162645.238","383748.463",
"Total average","Transfer income","2006.2/4","252855.6","146374.357","392255.775",
"Total average","Transfer income","2006.3/4","254391.04","140160.163","399689.702",
"Total average","Transfer income","2006.4/4","266237.558","145518.179","415904.522",
"Total average","Transfer income","2007.1/4","307216.813","184367.289","451636.786",
"Total average","Transfer income","2007.2/4","265115.183","147263.479","412557.009",
"Total average","Transfer income","2007.3/4","285141.983","163563.189","437399.91",
"Total average","Transfer income","2007.4/4","276602.512","163812.005","415900.027",
"Total average","Transfer income","2008.1/4","313079.986","190052.607","458378.578",
"Total average","Transfer income","2008.2/4","289614.139","171774.528","433474.036",
"Total average","Transfer income","2008.3/4","321888.288","180785.321","491773.523",
"Total average","Transfer income","2008.4/4","314069.773","171442.532","489553.165",
"Total average","Transfer income","2009.1/4","314250.703","216569.196","434238.724",
"Total average","Transfer income","2009.2/4","289348.268","165186.966","445158.319",
"Total average","Transfer income","2009.3/4","302849.463","173451.202","464646.338",
"Total average","Transfer income","2009.4/4","305379.576","170207.858","479642.229",
"Total average","Transfer income","2010.1/4","345597.036","241213.517","472898.764",
"Total average","Transfer income","2010.2/4","317673.924","190669.336","488731.538",
"Total average","Transfer income","2010.3/4","321324.6","197615.647","490686.718",
"Total average","Transfer income","2010.4/4","314738.066","188862.794","482414.895",
"Total average","Transfer income","2011.1/4","356150.613","237591.751","509252.233",
"Total average","Transfer income","2011.2/4","340483.847","218453.835","508162.421",
"Total average","Transfer income","2011.3/4","348424.03","226896.084","516718.075",
"Total average","Transfer income","2011.4/4","349594.145","236567.434","505023.455",
"Total average","Transfer income","2012.1/4","393854.72","288383.189","534211.119",
"Total average","Transfer income","2012.2/4","360001.403","232076.61","542910.647",
"Total average","Transfer income","2012.3/4","372890.639","229130.712","574177.831",
"Total average","Transfer income","2012.4/4","365779.568","226183.136","557797.18",
"Total average","Transfer income","2013.1/4","411329.546","286671.593","572529.253",
"Total average","Transfer income","2013.2/4","377920.165","236639.821","576917.185",
"Total average","Transfer income","2013.3/4","386692.944","247083.048","586189.914",
"Total average","Transfer income","2013.4/4","376027.294","235949.331","573889.592",
"Total average","Transfer income","2014.1/4","432139.543","296527.003","605619.997",
"Total average","Transfer income","2014.2/4","382737.014","258762.227","554406.899",
"Total average","Transfer income","2014.3/4","407714.723","271854.406","601237.573",
"Total average","Transfer income","2014.4/4","401296.639","273579.605","589686.355",
"Total average","Transfer income","2015.1/4","465256.573","336324.724","635848.84",
"Total average","Transfer income","2015.2/4","436043.148","288531.905","647250.183",
"Total average","Transfer income","2015.3/4","454986.843","299070.181","675934.953",
"Total average","Transfer income","2015.4/4","421747.137","265466.179","645872.075",
"Total average","Transfer income","2016.1/4","465615.613","317148.485","652042.798",
"Total average","Transfer income","2016.2/4","449632.483","304356.505","650505.729",
"Total average","Transfer income","2016.3/4","447092.31","300043.887","647661.773",
"Total average","Transfer income","2016.4/4","433594.565","279539.658","643250.451",
"Total average","Transfer income","2017.1/4","487464.763","353350.186","655920.238",
"Total average","Transfer income","2017.2/4","441632.035","304126.087","634371.901",
"Total average","Transfer income","2017.3/4","447481.313","295881.434","656353.676",
"Total average","Transfer income","2017.4/4","463193.983","312291.926","669231.214",
"Total average","Transfer income","2018.1/4","558749.528","404537.869","730595.754",
"Total average","Transfer income","2018.2/4","497709.894","310942.91","728555.098",
"Total average","Transfer income","2018.3/4","533545.846","337376.018","777685.687",
"Total average","Transfer income","2018.4/4","501783.872","316523.456","731222.739",
"Total average","Transfer income","2019.1/4","626646.304","472418.551","804785.064",
"Total average","Transfer income","2019.2/4","554096.962","370378.006","784678.714",
"Total average","Transfer income","2019.3/4","578764.653","405386.178","794252.646",
"Total average","Transfer income","2019.4/4","526001.543","347663.497","750799.31",
"Total average","Noncurrent income","2006.1/4","154665.475","177735.138","125945.455",
"Total average","Noncurrent income","2006.2/4","105563.921","113054.913","95757.072",
"Total average","Noncurrent income","2006.3/4","81773.724","86216.306","76122.878",
"Total average","Noncurrent income","2006.4/4","136772.102","137146.423","136308.022",
"Total average","Noncurrent income","2007.1/4","148711.037","161309.624","133900.335",
"Total average","Noncurrent income","2007.2/4","100229.232","95860.332","105695.072",
"Total average","Noncurrent income","2007.3/4","112797.815","108596.855","118058.844",
"Total average","Noncurrent income","2007.4/4","135094.981","137849.992","131692.512",
"Total average","Noncurrent income","2008.1/4","143053.181","173596.359","106980.879",
"Total average","Noncurrent income","2008.2/4","103571.798","120809.813","82527.44",
"Total average","Noncurrent income","2008.3/4","117159.832","113382.116","121708.129",
"Total average","Noncurrent income","2008.4/4","114964.492","129738.749","96786.781",
"Total average","Noncurrent income","2009.1/4","170959.988","212621.885","119784.195",
"Total average","Noncurrent income","2009.2/4","106917.489","123077.355","86638.47",
"Total average","Noncurrent income","2009.3/4","94761.212","111253.254","74139.909",
"Total average","Noncurrent income","2009.4/4","129646.541","145925.382","108659.947",
"Total average","Noncurrent income","2010.1/4","183293.489","149429.923","224592.062",
"Total average","Noncurrent income","2010.2/4","113180.046","122415.199","100741.573",
"Total average","Noncurrent income","2010.3/4","96073.408","83903.92","112733.887",
"Total average","Noncurrent income","2010.4/4","107445.162","104145.552","111840.53",
"Total average","Noncurrent income","2011.1/4","167355.378","179825.233","151252.363",
"Total average","Noncurrent income","2011.2/4","121925.116","111350.483","136455.471",
"Total average","Noncurrent income","2011.3/4","109171.234","90103.862","135576.068",
"Total average","Noncurrent income","2011.4/4","111627.628","109831.873","114097.069",
"Total average","Noncurrent income","2012.1/4","164402.671","156707.799","174642.632",
"Total average","Noncurrent income","2012.2/4","136228.419","125624.287","151390.403",
"Total average","Noncurrent income","2012.3/4","121591.472","103389.82","147076.733",
"Total average","Noncurrent income","2012.4/4","117103.872","118486.994","115201.361",
"Total average","Noncurrent income","2013.1/4","148984.19","154881.106","141358.674",
"Total average","Noncurrent income","2013.2/4","124022.009","123825.237","124299.166",
"Total average","Noncurrent income","2013.3/4","132201.712","122539.616","146008.461",
"Total average","Noncurrent income","2013.4/4","115075.333","120475.59","107447.385",
